formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
train_000098_020,10,max_holding_10,10.0,5.0,2348,1.6942721248319215,0.11223688759649253,0.4841159721638138,-0.3397793035608119,1383,690,0.1777908502810884,0.874150570584729,0.06974150244931265
train_000098_020,10,rank_only_max_holding_10,10.0,5.0,2348,1.1432589493137204,0.08525729364478818,0.39933982542153557,-0.38770239641166937,1473,735,0.07636975388461634,0.874150570584729,0.06974150244931265
train_000076_044,10,no_max_holding,,5.0,2348,0.33502786957398056,0.03149778086231314,0.25085060512192014,-0.49341625755878404,1307,652,0.13049653269908817,0.874150570584729,0.06974150244931265
train_000076_044,10,rank_only_no_max_holding,,5.0,2348,0.5233508240211187,0.04621049605557004,0.3075347642024843,-0.5279026798904995,1189,593,0.015561664118467539,0.874150570584729,0.06974150244931265
train_000076_044,10,max_holding_10,10.0,5.0,2348,0.06812510216153367,0.007098340118983915,0.14456414989935218,-0.4681867773081072,1843,920,0.16045903481296345,0.874150570584729,0.06974150244931265
train_000076_044,10,rank_only_max_holding_10,10.0,5.0,2348,0.4456072646410405,0.04034518662997244,0.28635858286885185,-0.5462970036177378,1899,948,0.04238066222688675,0.874150570584729,0.06974150244931265
train_000052_019,10,no_max_holding,,5.0,2348,0.6219254008583901,0.05327468007128422,0.34431893445466927,-0.41116588072100624,383,190,0.17544361842900447,0.874150570584729,0.06974150244931265
train_000052_019,10,rank_only_no_max_holding,,5.0,2348,3.671229532364757,0.17990478123042686,0.6414474055381958,-0.3187288336181282,225,111,0.0377597220571792,0.874150570584729,0.06974150244931265
train_000052_019,10,max_holding_10,10.0,5.0,2348,0.2198408250122108,0.02155680266267379,0.20599569234067727,-0.36408603203423473,1397,697,0.2129007272098399,0.874150570584729,0.06974150244931265
train_000052_019,10,rank_only_max_holding_10,10.0,5.0,2348,1.1598303368473055,0.08615477479096056,0.40302159381292785,-0.3603657215719741,1483,740,0.08444082119773756,0.874150570584729,0.06974150244931265
train_000147_033,10,no_max_holding,,5.0,2348,0.49202294010786907,0.04387986855382264,0.3002292227963795,-0.4975123980327273,1719,858,0.01622127934754784,0.874150570584729,0.06974150244931265
train_000147_033,10,rank_only_no_max_holding,,5.0,2348,0.5155883160549957,0.045637022412732486,0.3072946239729304,-0.49751622176481514,1709,853,0.014559133072257249,0.874150570584729,0.06974150244931265
train_000147_033,10,max_holding_10,10.0,5.0,2348,0.3415828260560776,0.032040156742394466,0.2526964549054413,-0.5346206921391213,2217,1107,0.031241468948370755,0.874150570584729,0.06974150244931265
train_000147_033,10,rank_only_max_holding_10,10.0,5.0,2348,0.3588961038743601,0.03346141291651872,0.2585494150429163,-0.5346242483045148,2215,1106,0.02927698459438717,0.874150570584729,0.06974150244931265
train_000051_037,10,no_max_holding,,5.0,2348,1.9125321385854428,0.12157425982162495,0.49558459529266297,-0.3772843701321392,339,168,0.14331400350753334,0.874150570584729,0.06974150244931265
train_000051_037,10,rank_only_no_max_holding,,5.0,2348,2.711702030893893,0.1511439935247192,0.5764656105442273,-0.3224936967097197,273,135,0.03311578823082775,0.874150570584729,0.06974150244931265
train_000051_037,10,max_holding_10,10.0,5.0,2348,1.4863522232116861,0.10269121150583027,0.4567119205238798,-0.29832206071089784,1365,681,0.18419431740672723,0.874150570584729,0.06974150244931265
train_000051_037,10,rank_only_max_holding_10,10.0,5.0,2348,0.9904337094102271,0.07667512254048714,0.3737058764069334,-0.33509031517939714,1471,734,0.08089786215073097,0.874150570584729,0.06974150244931265
