formula,horizon,date,equity,cash,cash_weight,position_count,held_symbols,drawdown,benchmark_equity,available_count
reversal_5,10,2022-05-12,1.2845443320265038,0.0018292161149772723,0.001424019451389032,3,515220;512800;510880,-0.27064445567816053,1.3388460474710902,17
reversal_5,10,2022-05-13,1.3157638895929424,0.0018292161149772723,0.0013902312789137088,3,515220;512800;510880,-0.252918203002681,1.3497333156383367,17
reversal_5,10,2022-05-16,1.3376655710561134,0.8746983522902756,0.6538991293613724,1,515220,-0.24048257707147336,1.3456815894284702,17
reversal_5,10,2022-05-17,1.3376655710561134,1.3376655710561134,1.0,0,,-0.24048257707147336,1.3631152594345373,17
reversal_5,10,2022-05-18,1.3376655710561134,1.3376655710561134,1.0,0,,-0.24048257707147336,1.3616023137212425,17
reversal_5,10,2022-05-19,1.3473587998318823,0.44588852368537113,0.33093525179856115,2,512010;159928,-0.23497882762996225,1.3738753710818996,17
reversal_5,10,2022-05-20,1.3661517943971486,0.44588852368537113,0.32638285548798146,2,512010;159928,-0.22430829299846122,1.3970008070854065,17
reversal_5,10,2022-05-23,1.3661517943971486,1.3661517943971486,1.0,0,,-0.22430829299846122,1.401505968504042,17
reversal_5,10,2022-05-24,1.3661517943971486,1.3661517943971486,1.0,0,,-0.22430829299846122,1.3578998143147518,17
reversal_5,10,2022-05-25,1.3706163427448517,0.0,0.0,3,512660;512010;512760,-0.22177335277950205,1.3669055925150622,17
reversal_5,10,2022-05-26,1.388474536135664,0.0,0.0,3,512660;512010;512760,-0.21163359190366493,1.3785917906703378,17
reversal_5,10,2022-05-27,1.3816837592172375,0.008929096695406313,0.006462474959150491,3,588000;515030;512760,-0.21548934890030624,1.37738249269029,17
reversal_5,10,2022-05-30,1.3926129761618604,0.010403106308616183,0.00747020635789843,3,588000;159915;512760,-0.20928381377402427,1.38691167971527,17
reversal_5,10,2022-05-31,1.4335518622861365,0.010403106308616183,0.007256874747472322,3,588000;159915;512760,-0.1860389923781013,1.4062341042446636,17
reversal_5,10,2022-06-01,1.4247928436230235,1.4247928436230235,1.0,0,,-0.19101230366482158,1.408873730948134,17
reversal_5,10,2022-06-02,1.4247928436230235,1.4247928436230235,1.0,0,,-0.19101230366482158,1.420688024116839,17
reversal_5,10,2022-06-06,1.441907472375252,1.1102230246251565e-16,7.699682856877687e-17,3,515220;512800;510880,-0.1812947337388735,1.4585384588972319,17
reversal_5,10,2022-06-07,1.4461029844605846,0.4877669194385126,0.3372974986428481,2,512800;510880,-0.1789125504818121,1.459384148846744,17
reversal_5,10,2022-06-08,1.4461029844605846,1.4461029844605846,1.0,0,,-0.1789125504818121,1.476048000968916,17
reversal_5,10,2022-06-09,1.4461029844605846,1.4461029844605846,1.0,0,,-0.1789125504818121,1.4584573349635064,17
reversal_5,10,2022-06-10,1.4461029844605846,1.4461029844605846,1.0,0,,-0.1789125504818121,1.4849792569754965,17
